chemsys,molarity__Diethylammonium iodide (M),prepare__Diethylammonium iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.03799999999999999,2020-02-05T15_44_25.589623+00_00_LBL_A1
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.004999999999999999,2020-02-05T15_44_25.589623+00_00_LBL_C1
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.044,2020-02-05T15_44_25.589623+00_00_LBL_E1
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.053,2020-02-05T15_44_25.589623+00_00_LBL_G1
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.017,2020-02-05T15_44_25.589623+00_00_LBL_A3
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.049,2020-02-05T15_44_25.589623+00_00_LBL_C3
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.024,2020-02-05T15_44_25.589623+00_00_LBL_E3
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.002,2020-02-05T15_44_25.589623+00_00_LBL_G3
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.018999999999999996,2020-02-05T15_44_25.589623+00_00_LBL_A5
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.03799999999999999,2020-02-05T15_44_25.589623+00_00_LBL_C5
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.08499999999999999,2020-02-05T15_44_25.589623+00_00_LBL_E5
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.026,2020-02-05T15_44_25.589623+00_00_LBL_G5
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.009999999999999998,2020-02-05T15_44_25.589623+00_00_LBL_A7
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.011,2020-02-05T15_44_25.589623+00_00_LBL_C7
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.028,2020-02-05T15_44_25.589623+00_00_LBL_E7
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.031,2020-02-05T15_44_25.589623+00_00_LBL_G7
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.006,2020-02-05T15_44_25.589623+00_00_LBL_A9
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.022,2020-02-05T15_44_25.589623+00_00_LBL_C9
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.028,2020-02-05T15_44_25.589623+00_00_LBL_E9
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.108,2020-02-05T15_44_25.589623+00_00_LBL_G9
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.092,2020-02-05T15_44_25.589623+00_00_LBL_A11
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.103,2020-02-05T15_44_25.589623+00_00_LBL_C11
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.022,2020-02-05T15_44_25.589623+00_00_LBL_E11
Diethylammonium_iodide__Gamma-Butyrolactone,3.0777786427071296,3.04 gram,8.209087488444178,3.1 milliliter,4.91283439042251,2,0.009000000000000001,2020-02-05T15_44_25.589623+00_00_LBL_G11
