chemsys,molarity__Dimethylammonium iodide (M),prepare__Dimethylammonium iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.08099999999999999,2019-12-03T16_04_22.236974+00_00_LBL_A1
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.068,2019-12-03T16_04_22.236974+00_00_LBL_C1
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.051,2019-12-03T16_04_22.236974+00_00_LBL_E1
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.05499999999999999,2019-12-03T16_04_22.236974+00_00_LBL_G1
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.002,2019-12-03T16_04_22.236974+00_00_LBL_A3
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.009999999999999998,2019-12-03T16_04_22.236974+00_00_LBL_C3
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.071,2019-12-03T16_04_22.236974+00_00_LBL_E3
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.039999999999999994,2019-12-03T16_04_22.236974+00_00_LBL_G3
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.009000000000000001,2019-12-03T16_04_22.236974+00_00_LBL_A5
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.046,2019-12-03T16_04_22.236974+00_00_LBL_C5
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.047,2019-12-03T16_04_22.236974+00_00_LBL_E5
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.032,2019-12-03T16_04_22.236974+00_00_LBL_G5
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.002,2019-12-03T16_04_22.236974+00_00_LBL_A7
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.13199999999999998,2019-12-03T16_04_22.236974+00_00_LBL_C7
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.003,2019-12-03T16_04_22.236974+00_00_LBL_E7
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.124,2019-12-03T16_04_22.236974+00_00_LBL_G7
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.001,2019-12-03T16_04_22.236974+00_00_LBL_A9
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.149,2019-12-03T16_04_22.236974+00_00_LBL_C9
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.154,2019-12-03T16_04_22.236974+00_00_LBL_E9
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.006,2019-12-03T16_04_22.236974+00_00_LBL_G9
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.06899999999999999,2019-12-03T16_04_22.236974+00_00_LBL_A11
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.06599999999999999,2019-12-03T16_04_22.236974+00_00_LBL_C11
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.043,2019-12-03T16_04_22.236974+00_00_LBL_E11
Dimethylammonium_iodide__Dimethylformamide,3.343385751350024,3.23 gram,9.248458647173123,4.0 milliliter,5.585283854153886,2,0.004999999999999999,2019-12-03T16_04_22.236974+00_00_LBL_G11
