chemsys,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.048,2020-06-23T21_04_02.046005+00_00_LBL_A1
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.07200000000000001,2020-06-23T21_04_02.046005+00_00_LBL_C1
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.014,2020-06-23T21_04_02.046005+00_00_LBL_E1
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.126,2020-06-23T21_04_02.046005+00_00_LBL_G1
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.012,2020-06-23T21_04_02.046005+00_00_LBL_A3
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.053,2020-06-23T21_04_02.046005+00_00_LBL_C3
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.045,2020-06-23T21_04_02.046005+00_00_LBL_E3
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.09899999999999999,2020-06-23T21_04_02.046005+00_00_LBL_G3
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.016,2020-06-23T21_04_02.046005+00_00_LBL_A5
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.020999999999999998,2020-06-23T21_04_02.046005+00_00_LBL_C5
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.014,2020-06-23T21_04_02.046005+00_00_LBL_E5
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.056,2020-06-23T21_04_02.046005+00_00_LBL_G5
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.06899999999999999,2020-06-23T21_04_02.046005+00_00_LBL_A7
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.016,2020-06-23T21_04_02.046005+00_00_LBL_C7
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.059,2020-06-23T21_04_02.046005+00_00_LBL_E7
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.104,2020-06-23T21_04_02.046005+00_00_LBL_G7
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.073,2020-06-23T21_04_02.046005+00_00_LBL_A9
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.074,2020-06-23T21_04_02.046005+00_00_LBL_C9
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.017,2020-06-23T21_04_02.046005+00_00_LBL_E9
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.032,2020-06-23T21_04_02.046005+00_00_LBL_G9
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.015,2020-06-23T21_04_02.046005+00_00_LBL_A11
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.051,2020-06-23T21_04_02.046005+00_00_LBL_C11
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.032,2020-06-23T21_04_02.046005+00_00_LBL_E11
Dimethylformamide__Gamma-Butyrolactone,6.504820536647695,4.57 milliliter,6.456908344733241,4.57 milliliter,9.14,0,0.015,2020-06-23T21_04_02.046005+00_00_LBL_G11
