chemsys,molarity__Ethylammonium Iodide (M),prepare__Ethylammonium Iodide,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.009999999999999998,2019-05-30T20_58_22.535516+00_00_LBL_A1
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.013,2019-05-30T20_58_22.535516+00_00_LBL_C1
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.136,2019-05-30T20_58_22.535516+00_00_LBL_E1
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.093,2019-05-30T20_58_22.535516+00_00_LBL_G1
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.044,2019-05-30T20_58_22.535516+00_00_LBL_A3
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.14300000000000002,2019-05-30T20_58_22.535516+00_00_LBL_C3
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.014,2019-05-30T20_58_22.535516+00_00_LBL_E3
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.33799999999999997,2019-05-30T20_58_22.535516+00_00_LBL_G3
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.036000000000000004,2019-05-30T20_58_22.535516+00_00_LBL_A5
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.314,2019-05-30T20_58_22.535516+00_00_LBL_C5
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.148,2019-05-30T20_58_22.535516+00_00_LBL_E5
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.006,2019-05-30T20_58_22.535516+00_00_LBL_G5
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.032,2019-05-30T20_58_22.535516+00_00_LBL_A7
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.061,2019-05-30T20_58_22.535516+00_00_LBL_C7
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.365,2019-05-30T20_58_22.535516+00_00_LBL_E7
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.06599999999999999,2019-05-30T20_58_22.535516+00_00_LBL_G7
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.053,2019-05-30T20_58_22.535516+00_00_LBL_A9
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.059,2019-05-30T20_58_22.535516+00_00_LBL_C9
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.051,2019-05-30T20_58_22.535516+00_00_LBL_E9
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.17099999999999999,2019-05-30T20_58_22.535516+00_00_LBL_G9
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.092,2019-05-30T20_58_22.535516+00_00_LBL_A11
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.044,2019-05-30T20_58_22.535516+00_00_LBL_C11
Ethylammonium_Iodide__Gamma-Butyrolactone,3.985475087441862,5.813 gram,8.641302745893823,5.6 milliliter,8.430903551559163,2,0.309,2019-05-30T20_58_22.535516+00_00_LBL_G11
