chemsys,molarity__Lead Diiodide (M),prepare__Lead Diiodide,molarity__Phenethylammonium iodide  (M),prepare__Phenethylammonium iodide ,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.392,2019-06-19T14_53_44.342960+00_00_LBL_A1
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.44899999999999995,2019-06-19T14_53_44.342960+00_00_LBL_C1
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.481,2019-06-19T14_53_44.342960+00_00_LBL_E1
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.16899999999999998,2019-06-19T14_53_44.342960+00_00_LBL_G1
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.39099999999999996,2019-06-19T14_53_44.342960+00_00_LBL_A3
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.383,2019-06-19T14_53_44.342960+00_00_LBL_C3
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.109,2019-06-19T14_53_44.342960+00_00_LBL_E3
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.32399999999999995,2019-06-19T14_53_44.342960+00_00_LBL_G3
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.239,2019-06-19T14_53_44.342960+00_00_LBL_A5
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.181,2019-06-19T14_53_44.342960+00_00_LBL_C5
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.444,2019-06-19T14_53_44.342960+00_00_LBL_E5
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.45399999999999996,2019-06-19T14_53_44.342960+00_00_LBL_G5
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.419,2019-06-19T14_53_44.342960+00_00_LBL_A7
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.285,2019-06-19T14_53_44.342960+00_00_LBL_C7
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.187,2019-06-19T14_53_44.342960+00_00_LBL_E7
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.496,2019-06-19T14_53_44.342960+00_00_LBL_G7
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.041,2019-06-19T14_53_44.342960+00_00_LBL_A9
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.457,2019-06-19T14_53_44.342960+00_00_LBL_C9
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.3,2019-06-19T14_53_44.342960+00_00_LBL_E9
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.282,2019-06-19T14_53_44.342960+00_00_LBL_G9
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.011,2019-06-19T14_53_44.342960+00_00_LBL_A11
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.292,2019-06-19T14_53_44.342960+00_00_LBL_C11
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.268,2019-06-19T14_53_44.342960+00_00_LBL_E11
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,1.3620890559015226,10.443 gram,0.6828884877814944,2.829 gram,10.325945238518822,13.2 milliliter,16.63065784301332,1,0.146,2019-06-19T14_53_44.342960+00_00_LBL_G11
Gamma-Butyrolactone__Lead_Diiodide__Phenethylammonium_iodide_,0.5302635969780459,0.1681 gram,0.7647720617641286,0.131 gram,10.973060013735378,0.58 milliliter,0.6876470021184824,0,0.18,2020-11-30T18_12_22.108199+00_00_HC_A1
