chemsys,molarity__Phenethylammonium iodide  (M),prepare__Phenethylammonium iodide ,molarity__Gamma-Butyrolactone (M),prepare__Gamma-Butyrolactone,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.020999999999999998,2019-06-19T14_53_44.342960+00_00_LBL_A1
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.015,2019-06-19T14_53_44.342960+00_00_LBL_C1
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.015,2019-06-19T14_53_44.342960+00_00_LBL_E1
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.058,2019-06-19T14_53_44.342960+00_00_LBL_G1
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.109,2019-06-19T14_53_44.342960+00_00_LBL_A3
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.077,2019-06-19T14_53_44.342960+00_00_LBL_C3
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.001,2019-06-19T14_53_44.342960+00_00_LBL_E3
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.082,2019-06-19T14_53_44.342960+00_00_LBL_G3
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.24,2019-06-19T14_53_44.342960+00_00_LBL_A5
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.16799999999999998,2019-06-19T14_53_44.342960+00_00_LBL_C5
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.009999999999999998,2019-06-19T14_53_44.342960+00_00_LBL_E5
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.001,2019-06-19T14_53_44.342960+00_00_LBL_G5
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.009999999999999998,2019-06-19T14_53_44.342960+00_00_LBL_A7
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.029,2019-06-19T14_53_44.342960+00_00_LBL_C7
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.235,2019-06-19T14_53_44.342960+00_00_LBL_E7
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.004,2019-06-19T14_53_44.342960+00_00_LBL_G7
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.236,2019-06-19T14_53_44.342960+00_00_LBL_A9
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.039999999999999994,2019-06-19T14_53_44.342960+00_00_LBL_C9
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.039,2019-06-19T14_53_44.342960+00_00_LBL_E9
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.181,2019-06-19T14_53_44.342960+00_00_LBL_G9
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.18199999999999997,2019-06-19T14_53_44.342960+00_00_LBL_A11
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.09899999999999999,2019-06-19T14_53_44.342960+00_00_LBL_C11
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.116,2019-06-19T14_53_44.342960+00_00_LBL_E11
Gamma-Butyrolactone__Phenethylammonium_iodide_,1.240051497085404,2.058 gram,10.544528204003944,5.4 milliliter,6.662418691157671,2,0.306,2019-06-19T14_53_44.342960+00_00_LBL_G11
